名称,类别,客户数量,描述
零售信贷系统,信贷业务,16,宇信科技面向零售信贷业务，运用移动互联网和大数据，构建新一代分布式零售信贷系统，提高客户的服务体验，帮助提升商业银行业务快速发展，持续优化资产质量，提高盈利能力的战略目标，构建安全、稳定、灵活、可扩展性强的全行级零售信贷平台。新一代分布式零售信贷系统基于SpringCloud的分布式架构，在技术架构上接受Spring4，iBatis，Eureka，Feign，Hystrix等相关开源框架约束，具备低耦合性、高扩展性，能够快速响应市场需求，满足零售信贷业务的短频快特色需求的需要。
对公信贷系统,信贷业务,16,宇信科技对公信贷管理系统是以总部为核心跨地区的全行一体化的信贷管理系统，既是银行风险控制管理系统，又是银行信息化管理系统。系统的设计思路与功能应用，在国内银行业均处于领先的地位。本系统是全面遵循巴塞尔新资本协议，以客户管理为基础、流程管理为主线、信贷风险防范为目标的全流程系统，能够实现企业法人信贷业务的管理、统计、分析、监测、审批、控制的电子化和自动化，提供信贷及相关业务信息的存储、汇总、收集、反映，为各层经营管理提供监控、决策、分析、预警等功能，为商业银行信贷业务的创新、经营决策提供充分的信息支持。
综合信贷系统,信贷业务,16,宇信科技新一代综合信贷系统产品面向以全流程信贷系统规划的商业客户，产品涵盖对公、同业、零售、中小及微小企业业务，即：一个平台多条跑道，可灵活定制、整合、拆分业务条线的架构理念。产品按信贷业务全流程系统的概念支持商业银行的信贷业务开展。针对客户管理、财务分析、信用评级、额度授信、业务用信、合同管理、发放支付、贷后管理、风险分类及处置、保全管理这些流程，信息捕捉和审批在信贷系统进行，通过与核心（核算）系统直连，完成相应的后续处理。除此之外，系统将覆盖其他所有贷前、中、后流程。系统将是商业银行信贷业务基础数据的唯一来源，满足风险管理、绩效衡量、新巴协议、统计等各种对内、对外数据需求。
不良资产管理系统,贷后管理体系,8,"本产品为覆盖全行不良资产处置的综合动态数据采集和业务信息管理系统。通过建设以风险控制为中心，以业务流程为主线，集不良资产处置管理、不良资产证券化管理、不良资产竞价交易管理为一体的不良资产管理平台。不良资产管理系统可协助银行控制操作风险，规范业务流程，完成责任认定，预防形成二次损失，不断提高全行不良资产清收处置工作的日常化、集约化、规范化、精细化程度，实现不良资产回收价值最大化。
    本系统采用先进的分布式微服务架构，充分应用大数据、区块链先进技术，实现了不良资产的智能化尽调、精准化处置、电子化管理。为企业提供涵盖全行对公、零售不良、已核销、抵债及其他非信贷类不良贷款的全业务口径、全生命周期的流程化管理。产品功能包括不良资产移交管理、不良资产日常管理、不良资产处置方案管理、不良资产处置方案执行管理、抵债资产管理模块功能等，也可实现对诉讼案件的精细化管理。"
资产证券化系统,贷后管理体系,8,资产证券化系统参考既定标准从信贷系统中筛选出可证券化的基础资产，通过一定的产品设计实现发行及后续服务，对资产证券化生命周期中不同阶段实行有针对性的动态管理，协助银行盘活存量资产，优化杠杆结构，提高资产流动性，提升资本充足率，挖掘盈利增长潜力。系统提供基础资产管理、资产池管理、产品方案设计、项目发行管理、贷款服务管理、产品存续期管理、债券投资管理等功能。
催收管理系统,贷后管理体系,8,"宇信科技根据多年来对商业银行信贷业务及贷后管理领域的探索和实践，推出一套完整的商业银行催收管理系统软件产品，该产品的设计理念集中于“策略化、差异化、规范化、移动化、合规化”。
宇信科技催收管理系统将通过对催收过程的规范化全流程管理，建设一个规范化、差异化的集合业务处理与管理功能的催收系统，使其能够满足商业银行的业务需求以及监管的合规性要求。"
智能贷后管理系统,贷后管理体系,8,依托人工智能前沿技术，秉承差异化高效管理思路，满足精细化管理整体要求，智能贷后管理体系旨在为银行提供高效率、优质量、稳合规的系统支持。在传统贷后管理体系基础上，融入更多智能化元素。在功能层面，除涵盖贷后检查、到期回收、风险分类、贷后作业管理、贷后检查监督等传统功能以外，利用移动端的便携性、灵活性，加入语音填充及定时定位拍照功能，同时可在移动端进行操作和查看必要工作流过程。
内部评级管理系统,信用风险管理体系,8,宇信科技内部评级产品系列包括非零售内部评级系统、零售内部评级系统两类产品，为客户提供内部评级模型运行、维护和监测工作的系统平台。内部评级系统内嵌完善的模型配置、维护工具，能够实现灵活的参数化配置和版本管理，并提供友好的用户交互页面；同时，提供高效的流程配置工具，满足不同审批权限、不同业务种类等多维度的配置要求，支持集中作业（任务分发）、指定岗位两种任务处理方式；此外，本产品提供基于相关数据的报表类型，满足常规业务的统计需求的同时，满足模型监控、模型优化的需求，以便商业银行持续监控模型的表现，并为模型验证提供支持，其功能范围超越相关监管要求。
信用风险预警系统,信用风险管理体系,8,宇信科技信用风险预警系统以实现全行范围内建立信贷业务风险监测、及时提示、持续跟踪与改进的风险管理机制为目标，系统在整合内外部风险信息的基础上，利用大数据技术，通过构建“规则模型+机器学习模型”的预警模型体系，实现对信贷风险的自动识别和主动提醒。系统通过将风险预警与信贷场景的全面结合，实现对信贷业务全资产、全客户、全流程的全面覆盖，涵盖客户预警、组合预警、机构预警、业务预警、流程预警等全面预警管理。
押品管理系统,信用风险管理体系,8,宇信科技押品管理系统针对银行业押品的种类多、估值虚、成本高、管理难等痛点提供一套行之有效的智能解决方案。作为重要担保类型，押品不仅是银行信贷最为重要的第二还款来源，同时，作为银行信用风险管理、风险缓释计量的依据，是银行风险计量不可或缺的一部分。正因如此，押品管理是银行业务管理与风险管理部门均极为关注的内容。宇信科技提供押品生命周期管理、价值管理、信用风险缓释功能，通过信息管理、价值管理、权证管理、担保落实、流程管理、贷后预警等功能实现押品在不同时点阶段的全生命周期管理；赋能估值管理，提供预评估、人工评估、外部评估、价值重估入口，结合外部样本库、GIS地图等工具，助力估值管理；深耕信用风险量化，细化押品合格认定、风险缓释、报表统计分析功能，使信用风险量化有据可依。
手机银行,客户渠道,8,目前手机银行业务功能和服务内容日渐丰富。宇信科技具有丰富的手机银行搭建经验，可为金融机构打造“千人千面”的营销平台、“智能化”用户体验、“经营化”中台服务和“开放化”用户体系及服务体系。
交易银行,客户渠道,8,宇信科技的交易银行并非仅是一个IT系统，而是一套以面向交易服务为核心理念的体系支撑，帮助银行从系统建设、服务模式到组织架构都围绕着面向交易服务进行调整，面向产业链改变标准化的产品服务，转而以解决方案进行跨部门和跨产品的组合和打包销售，改变过去业务办理过程中出现的业务竖井，整合建设能力中心，形成业务中台面向客户提供一站式的服务。
开放银行,客户渠道,8,金融服务开放平台可以满足金融机构三方面价值的提升诉求：由封闭运行向开放转变，由被动式服务向主动式服务转变，由以账户为中心向以用户为中心转变。宇信可以帮助银行将金融服务能力打包输出、快速接入外部场景，主动嵌入到用户的交易场景。
微信银行,客户渠道,8,微信银行是专门面向微信、易信、支付宝钱包、微博等公共号渠道提供金融服务的产品。以微信为例，产品的主要适用场景包括微信客服、微信交易和微信营销多个方面，有机结合互联网金融的服务模式，丰富了银行与客户沟通的渠道，为银行向互联网客户延伸自身的服务和产品提供有力的支撑。
直销银行,客户渠道,8,宇信科技直销银行建立了一套独立的网络直销模式，集存、贷、汇、付于一体，通过“开放平台”的理念实践，将标准化、高收益的银行产品及更为优质的客户体验和更加精准的服务模式集于一体，为银行带来四种价值：扩宽用户范围、完善创新机制、提高产品营销能力和增强用户粘度。
网上银行,客户渠道,8,宇信科技新一代网上银行产品是以客户为中心、面向营销、多渠道协同、用户数据建模、基于WEB2.0的创新用户体验、金融服务平台化为设计理念的新一代互联网银行。
统一PC门户,员工渠道,0,建立统一员工工作台，为各系统提供统一的多种认证方式的认证服务，解决系统用户一个业务场景在不同系统间来回切换的困扰。通过建立统一门户，整合信息系统安全资源，提高认证安全等级，使用户身份信息管理、用户认证管理规范化，提高风险防范能力。
移动工作站,员工渠道,0,提供完整的移动服务业务功能，包括移动开户开卡、移动签约、移动信贷、移动CRM等业务功能；提供完善的移动业务辅助功能，包括考勤管理、工作日程管理、绩效管理、业务双录（录音录像）等。系统有效提升对小微客户的服务效率，开启现场开户、授信审批、理财认购、业务签约的一条龙服务。
网点前端系统,员工渠道,0,不仅支持传统的柜面高低柜业务，还支持各种现场服务和营销功能；支持客户识别、一句话营销、综合签约、购物车模式交易等以客户为中心的服务流程；具备更强的系统集成与整合能力、业务流程的控制能力和网点的运营管理能力。
呼叫中心,远程银行,8,宇信科技呼叫中心是一套集成多渠道触达的全媒体智能化客户联络管理系统，它支持语音、文本、视频等媒体流的呼入与呼出，支持基于NLP技术的智能交互体验，全面集成客户管理、客户视图、客户交易系统，可实现客服中心、信用卡中心、远程银行、在线客服、视频客服等多种应用，支持客服服务、业务办理、外呼营销、催收催缴、客户关怀、风险管控等多种业务场景，是银行和客户联络不可或缺的管理中心。
智能客服,远程银行,8,宇信智能客服系统是以AI交互智能与数据智能系统为基础平台搭建的智能化应用系统，包括智能在线客服、智能语音、智能外呼、智能坐席辅助、智能实时质检、智能知识库等多套子系统，实现了机器人对话、人机智能辅助、智能监控督导等功能，为呼叫中心向远程银行转型提供有力的支撑。
云银行,远程银行,8,云银行是一个全渠道银行系统，将打破传统物理网点空间和时间的限制，帮助银行构建一个“业务流程标准化”、“风险管控集中化”的全渠道业务受理的系统平台，助力银行不断提升零售业务网点产能，优化客户体验。
智能网点,远程银行,8,提供网点高效、智能、安全的运营系统，有效提升网点服务秩序、改善服务效率；实现客户识别、客户分流和客户分层，为不同层次的客户提供差异化、个性化的营销和服务；提供各种统计分析报表，实现大堂运营管理图表化和实时化，有效提升网点运营管理水平；支持排队机设备、多媒体广告机、多媒体电视、LED门楣走字屏等设备的统一联网管理及广告、公告信息发布。
超级柜台,远程银行,8,可实现大部分非现金业务的自助办理；可客户自身的属性信息，形成精准营销的产品推荐服务信息；支持远程视频、电子签名、录音录像功能，全面支持开卡、签约、理财产品签约购买、代理类业务销售等业务；支持远程集中审核和现场快速审核两种模式，满足不同类型网点使用。
统一自助服务平台,远程银行,8,实现了设备管控标准化、产品操作流程模板化，支持产品快速发布，多设备渠道的统一客户识别和信息采集，支持跨渠道设备的业务流程衔接，支持多渠道设备业务预约、预填。
分布式银行核心系统,核心系统,2,基于宇信统一开发平台精心打造的全新一代银行核心系统，设计理念先进，技术架构领先，业务模型先进，业务功能强大，能够有力支撑银行存、贷、汇等业务的快速发展，助力银行在激烈的金融市场竞争中取得先发优势。系统全面支持分布式、微服务架构体系，以Java语言开发，支持国产数据库，部署方式灵活，开发、测试、运维体系完备，完全满足国产化要求。
互联网金融核心系统,核心系统,2,互联网金融核心系统是在分布式核心系统分布式平台架构和业务组件的基础上，构建业务中台能力，形成了客户中心、产品中心、营销中心、额度中心、账户中心、合约中心、交易中心、支付中心、核算中心、差错中心、内管中心等能力单元，通过场景化封装，全面支撑互联网金融业务发展，可应用于互联网金融、社区金融、网络贷款平台、助农平台等各种场景。同时，系统与数据中台进行整合，全面支持互联网金融业务中对客户识别、风控、人工智能技术应用等方面的要求。
金融数据中台,数据智能,8,"宇信科技面向银行、信托、保险、消费金融等行业提供金融数据中台建设解决方案。数据中台是数据服务的加工工厂，聚合和治理跨域数据，沉淀共性公共数据，将数据抽象封装成服务，为前台业务提供更快的数据类业务服务，同时让数据参与到业务生产的各个环节，实现数据的价值变现。
宇信科技数据中台业务为客户提供两种业务模式，第一种是专注帮助客户解决数据产品业务运营，价值变现的“瘦中台”模式，另一种是全域服务的大中台建设模式。“瘦中台”业务模式重点建设的是数据产品化、产品工厂化的数据运营模式，让数据来源于业务，服务于业务，快速实现数据产能的提升。大中台建设模式，通过开放、共享的数据资产价值化的理论，以数据资产为主线，让数据中台建设贯通平台、数据、治理、场景、赋能，目标是优化金融机构数据布局，为数字化银行全面智慧服务提供数据基础。"
金融大数据平台,数据智能,8,"宇信科技面向银行、信托、保险、消费金融等行业提供金融大数据平台建设解决方案。结合超过15年的金融数据服务经验，帮助金融客户构建安全、稳定、高效、敏捷的现代化、智能化的大数据平台，在保证数据实时可用的同时，推动企业发挥数据价值，充分转化为知识与洞察，促进金融业务快速创新。宇信科技提供从数据采集、建模、存储、分析到应用场景的全流程数据驱动解决方案，帮助企业驱动业务决策和产品智能。
大数据平台建设解决方案主要包括平台建设规划、基础工具键全、智能应用体系建设。其中“基础工具键全”包括数据采集、数据交换、数据存储、数据开发、实时计算、数据服务、数据治理、数据资产相关的全套自主知识产权产品服务，“智能应用体系建设”包含基于大数据平台实施的数据湖、数据仓库、实时数据平台、决策分析平台、历史数据平台、数据模型实验室、客户标签管理、日志分析平台、统一监管报送等相关应用场景。真正做到支持大数据平台建设模式的多样性，以及配套技术支撑体系的完备性。"
金融数据仓库,数据智能,8,"宇信科技面向银行、信托、保险、消费金融等行业提供企业数据仓库建设解决方案。宇信科技拥有超过15年的金融数据仓库建设经验。数据仓库的建设目标是实现智能化的数据管理，主要场景是支持管理决策、金融监管和业务分析，是金融客户在数据体系建设中最核心的环节。宇信数据仓库在建设模式上借助高效的数据管理及治理方案，全面整合企业内部的经营数据，通过预定的数据模型快速完成数据分析，从而为企业的业务决策进行服务，成为企业建立数据驱动的基础数据平台，并应用基于数据整合的经典分析场景。数据仓库同时也是数据中台建设的关键基础设施，与大数据平台一起构成金融数据体系中最关键的双子平台。
宇信科技数据仓库解决方案能够提供除基于数据平台软件之外的所有全系列的数据工具、应用产品，为金融客户提供完全国产化的建设服务，同时宇信的数据仓库方案也与国内主流的数据平台软件供应商产品进行了集成。"
数据产品运营,数据智能,8,宇信科技以企业数字化转型战略角度，全面审视企业数据资产现状与数据使用现状，结合行业最佳实践，以“使用数据、实现价值”为目标，构建企业级数据产品运营体系，形成一体化数据应用解决方案。数据产品运营建设解决方案以数据使用者为中心，全面结合业务场景构建数据产品，以支撑业务和驱动业务发展为目标，将企业数据与服务能力相结合形成数据产品，打通产品开发集成体系、产品发布流通体系、产品消费评价体系、产品定制生产体系等多个服务体系，形成全面的数据产品运营体系。从“价值”和“效率”两个角度出发，为企业设计打造数据产品运营平台，实现数据产品生产者、使用者、运营者的有效互动，提高企业数据产品生产效率，实现数据资产价值。
数据资产管理,数据智能,8,宇信科技面向银行、信托、保险、消费金融等行业提供数据资产管理建设解决方案，方案从战略规划、组织架构、制席政策、管理流程、建设目标、实施路线等多个角度为金融机构进行数据资产管理提供全方位的建设指导，帮助金融机构推进数据治理，提升数据资产质量，提高资产管理水平，实现数据资产价值。方案不仅涵盖元数据管理、数据标准、数据质量、主数据管理、数据安全、数据生命周期等数据治理部分内容，同时还涵盖数据在资产盘点、数据资产目录、数据资产地图、数据资产评估等资产服务相关内容。通过数据资产管理实现数据可见、可懂、可用、可运营。
全面风险数据集市,数据集市,8,宇信科技为解决银行、信托、消费金融公司等金融机构全面风险管理、智能风控等问题，成立了专门的风险业务组，从巴塞尔协议及130+风险类实际项目案例中，提炼出了一套涵盖资本、效益、质量、容忍度、集中度等的全面风险指标体系，并基于此设计出全面风险数据集市。该产品能覆盖信用风险、市场风险、操作风险、流动性风险等11类风险的绝大部分管理需求，并可结合行内外数据为内部评级、风险预警、RWA、I9等提供全面的数据支持，整体上提升金融机构的风险管理能力。
统一监管数据集市,数据集市,8,"面对日益严格的监管要求、越发增的大监督范围，金融机构由于数据质量差、数据不统一、报送机制不健全等原因，错报、漏报、迟报等情况时常发生，而重明细、重质量、重逻辑的报送要求已经成为必然的趋势。
宇信统一监管数据集市解决方案集各大监管模块需求于一身，底层模型以明细类报送为设计依据，向上衍生出业务整合层及指标层支撑指标类报送，从根本上保障了报送数据的一致性、统一性，并且提炼出了监管视角的数据标准、数据质量检核规则与工具，助力金融机构完成数据治理工作。
宇信统一监管数据集市能够从数据来源、逻辑整合、指标体系等多个层面进行保障，全面提升数据质量，同时满足基于监管数据的分析挖掘需求，支持管理决策。"
智能客户分析集市,数据集市,8,"宇信科技面向银行、证券、消费金融等行业提供金融智能客户分析集市解决方案。为了满足金融客户数字化转型的战略目标，有效提升数据使用效率，更好的支撑数据分析应用，我们推出了统一的智能客户分析数据集市，旨在将客户相关数据（客户、账户、交易、合同、产品、机构）进行集中存储，结合内外部数据提供完整的客户数据视图，同时建设客户标签体系，为零售对公板块经营决策、营销分析、数据挖掘等工作提供强有力的支撑。
宇信科技智能客户分析集市将为客户提供全套客户主题模型和标签库，客户主题模型包含背景信息、关联关系、财务状况、产品持有、评级信息等；标签库内置12大类（持有产品类、客户价值、消费行为、人群特征、客户偏好、预测类等）1000多个标签；同时宇信提供智能客户分析平台对客户数据进行分析、对标签生命周期进行管理、对用户进行特征刻画，将客户的价值、成长、画像信息直观展现。"
网贷融资智能分析集市,数据集市,8,"宇信科技面向银行、信托、保险、非银机构等行业提供融资业务数据集市建设解决方案，结合超过15年的金融数据服务经验，为网络融资业务提供全面的统计分析、自助查询、多维分析、数据挖掘等决策支持；准确及时的提供网络融资业务客户、产品、营销、风险、预警、催收等数据支持；实现数据与业务的交互驱动，促进网络融资业务良性快速增长。 
网络融资数据集市解决方案主要解决数据运营和数据质量问题。第一，通过数据分析建立客户视图，围绕客户拉新、盘活、交叉营销等方面开展营销活动，并进行营销活动效果的分析；第二，支持互联网信贷业务核销、催收管理、资产证券化等业务管理要求，开展产品和客群的盈利分析、成本分析、绩效分析等，为业务发展决策支持；第三，基于大数据模型技术，实现互联网信贷数据行内、行外数据信息的整合，开展互联网信贷业务风险管控，加强客户授信管理、贷后风险评估、贷款催收等其他支持互联网信贷业务的数据加工和修正。"
智能客服分析集市,数据集市,8,"宇信科技面向银行、信托、保险、消费金融等行业提供企业智能客服数据分析集市建设解决方案。智能客服数据分析集市的建设目标是实现智能化的数据分析，支撑客户服务中心数字化转型，为客户服务和客户经营提供数字化支持。
宇信科技提供从数据采集、存储、建模、分析到应用场景的批流一体化的全流程数据驱动解决方案，全面分析客服系统数据体系，形成以大数据为平台、客服指标体系为基础，以固定报表、专题分析、客户标签、营销支撑、预警规则、数据服务为分析手段，以运营和经营为导向的多维数据分析体系，帮助企业客户服务实现数字化管理，快速实现服务转型。"
经营分析数据集市,数据集市,8,"宇信科技面向银行、证券、消费金融等行业提供金融经营分析数据集市解决方案。为了适应金融企业未来发展要求，快速反映经营状况，把握战略发展方向，我们推出新一代经营分析集市解决方案，将内外部数据进行统一归集、加工、展现，形象、直观、具体的展现给决策人员，同时对业务人员、管理人员提供不同维度、不同视野的数据报表、图表及智能分析报告，辅助管理人员进行经营分析和决策。
宇信科技经营分析数据集市将为客户提供完整经营分析数据模型、指标生命周期管理体系、数据血缘与影响分析、丰富的数据展现体验，其中经营分析模型内置了包括基础指标（客户、风险、运营、财务、绩效等8大类）、内部管理职能指标、外部管理职能指标、决策指标等1200多个指标；同时搭配集成Excel和Echarts的经营分析产品，通过PC、移动端等多种方式将经营数据呈现到决策人员手中。"
财务数据集市解决方案,数据集市,8,财务数据集市是公司财务相关各类数据的汇集平台，是支持上市引战、信息批露、监管报表、财务报表、管理会计、资本管理数据采集、整理、加工等的关键系统。通过集市的建设对现有业务系统数据进行整合并向管理会计，财务应用及报表分析工作提供数据支撑，包括财务集市环境搭建、业务及数据分析并进行验证、模型物理化落地，实现财务数据标准落地及数据质量检核、对应用所需的数据提供支持。
统一数据门户平台,数据运营,0,宇信科技面向金融机构及大中型企业，从数据使用角度出发，打造真正方便用户的企业一站式数据服务检索门户平台。企业级统一数据门户平台肩负了集成企业全域数据服务资源、产品化包装、规范化管理、体系化运营、对所有用户提供数据服务的使命。涵盖了数据产品的注册、审核、发布、查询、订阅、开通、评价等的整套流程，实现全行资产价值的统一运营和管理。
统一指标报表平台,数据运营,0,宇信科技面向银行、信托、保险、消费金融等行业提供金融统一指标报表平台产品。为了解决金融机构业务口径不统一、指标数据无法共享、各系统间的指标难以整合等一系列问题，同时将管理类数据标准进行梳理和落地，我们推出了基于指标体系、多维模型、分布式计算引擎的统一指标报表产品。统一指标报表产品支持基于多维模型的数据分析、集成Excel和Echarts、可快速搭建企业级报表平台，具有展现形式多样、报表使用灵活、开发响应时效性高、业务口径一致性强、维度口径管理便捷、指标数据可追溯等特点，真正做到了底层数据统一、数据标准统一、业务口径统一， 从根本上将技术数据转化为业务数据、发挥了数据的价值。
智能大屏展示平台,数据运营,0,通过智能大屏展示平台，宇信科技提供自助式BI在线展示和可视化数据大屏制作能力。基于在线组件化设计理念，操作人员通过简单的拖拽、配置就可编排出可视化应用页面(大屏)，无需任何编码、无需投产变更。它可帮助业务或者技术人员，构建直观、美观、快捷的资产负债数据图、交易实时变动图、对公对私存贷款金额等业务数据在线实时直观展示，进而让使用者更加方便地进行数据的个性化管理与使用。
金融风险监控平台,数据运营,0,金融风险监控平台是一款通用的金融风险监测和风险控制产品。该产品基于大数据流式计算和批量计算框架，通过对线上线下交易数据的实时、准实时批量接入，运用智能规则引擎，自主实现对金融风险的事中控制、实时监测、事后分析，进而达到事前防范、事中干预、实时预警、事后监督的全方位风险防控要求。本产品以数据为事件驱动、以规则为场景内容、以引擎为分析工具、以预警为风险线索，消除传统数据分散、控制延迟、手段单一、关联不强等瓶颈，全面建立风险防控传导工作机制，有效提升风险防控能力。
经营决策分析平台,数据运营,0,经营决策分析平台是宇信科技结合银行业数字化转型战略规划，以经营管理视角、业务发展视角、投资管理视角、监管合规视角等多个维度对全行经营数据进行管理和分析，建立符合管理要求的经营全景视图。根据经营管理需要，梳理基础经营管理数据，优化管理数据分层分类，通过建立客户、渠道、产品与定价、规模、盈利、风险管理、运营支撑七大类底层数据主题，健全条线、用途、机构三类数据分析维度，通过主题与维度的组合，实现多维分析目标，为银行经营决策提供数据支撑。
数据开放服务平台,数据中台,0,"数据开放服务平台是将数据能力进行服务化包装，通过多类型服务接入机制，将数据提供给各类业务或者数据应用类系统，实现数据参与业务运营、发挥数据价值。
本平台包括数据服务门户、运营管理门户、服务管控平台。运营管理门户的功能包括产品管理、服务审批、API管理、运营分析等，实现数据服务化、服务API化、API产品化，将服务快速组装、高效对外开放；数据服务门户功能包括服务市场、个人中心、智能搜索、产品订阅、评价反馈、知识库等，将数据服务呈现给数据服务消费方，同时提供服务的订阅申请、反馈、贡献机制，以及快速接入的指导；服务管控平台对访问方系统实现多报文协议适配、流控，服务实时监控告警、部署、灰度路由、统一日志、链路追踪等。"
客户标签管理平台,数据中台,0,宇信科技基于银行业零售转型战略规划，面向数字化营销现实需求，构建全行级客户标签管理平台，为客户画像、客群细分、产品推荐、活动策划、交叉营销、场景营销等提供数据保障与全面支撑。客户标签管理平台提供标签定义、标签生成、标签库管理、标签服务、标签评价等核心功能，覆盖标签全生命周期管理。平台预置金融行业客户标签库，支持多种数据源对接，方便银行快速构建全行的标签服务体系，支撑业务需求，发挥数据价值。
客户行为分析平台,数据中台,0,"客户行为分析平台是宇信科技专门为了解用户在网上银行、手机银行、直销银行等网络渠道银行系统的使用喜好与趋势而设计的系统。客户行为分析平台为银行提供多种详尽的用户行为分析报告，预测用户的使用习惯，帮助银行更为精准的锁定营销目标。本产品能够采集、分析和统计用户在银行网络渠道系统的所有行为数据，这些数据和统计分析可以为银行的CRM和大数据精准营销系统提供基础数据，使得银行能够制定更为精准和有效的市场营销方案。
客户行为分析平台提供日志采集、埋点采集、SDK采集、批量采集等多种采集方式，覆盖多渠道多设备类型；提供行为信息，实现同一客户标识的识别；提供客户标签画像映射、行为路径分析、分析结果推送等功能，实现对客户行为的分析和标签识别，并对识别结果向订阅的渠道进行推送。"
